Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sun,11/1/2020,18:00 (20:00),Napoli,2.1,0–2,1.8,Sassuolo,,Stadio Diego Armando Maradona,Maurizio Mariani,Match Report,
6,Sun,11/1/2020,18:00 (20:00),Roma,3,2–0,0.4,Fiorentina,,Stadio Olimpico,Daniele Orsato,Match Report,
6,Sun,11/1/2020,20:45 (22:45),Sampdoria,0.8,1–1,1.2,Genoa,,Stadio Comunale Luigi Ferraris,Federico La Penna,Match Report,
6,Mon,11/2/2020,20:45 (22:45),Hellas Verona,2.1,3–1,1.5,Benevento,,Stadio Marc'Antonio Bentegodi,Juan Sacchi,Match Report,
,,,,,,,,,,,,,
3,Wed,11/4/2020,17:00 (19:00),Genoa,1.4,1–2,0.3,Torino,,Stadio Comunale Luigi Ferraris,Paolo Valeri,Match Report,
,,,,,,,,,,,,,
7,Fri,11/6/2020,20:45 (22:45),Sassuolo,0.1,0–0,0.1,Udinese,,Mapei Stadium - Città del Tricolore,Eugenio Abbattista,Match Report,
7,Sat,11/7/2020,15:00 (17:00),Cagliari,1.9,2–0,0.2,Sampdoria,,Sardegna Arena,Giovanni Ayroldi,Match Report,
7,Sat,11/7/2020,18:00 (20:00),Benevento,0.2,0–3,1.1,Spezia,,Stadio Ciro Vigorito,Gianluca Aureliano,Match Report,
7,Sat,11/7/2020,20:45 (22:45),Parma,0.2,0–0,0.5,Fiorentina,,Stadio Ennio Tardini,Federico La Penna,Match Report,
7,Sun,11/8/2020,12:30 (14:30),Lazio,1,1–1,1.3,Juventus,,Stadio Olimpico,Davide Massa,Match Report,
7,Sun,11/8/2020,15:00 (17:00),Torino,0.2,0–0,0.3,Crotone,,Stadio Olimpico di Torino,Francesco Fourneau,Match Report,
7,Sun,11/8/2020,15:00 (17:00),Genoa,0.6,1–3,2.6,Roma,,Stadio Comunale Luigi Ferraris,Massimiliano Irrati,Match Report,
7,Sun,11/8/2020,15:00 (17:00),Atalanta,1,1–1,0.9,Inter,,Stadio Atleti Azzurri d'Italia,Daniele Doveri,Match Report,
7,Sun,11/8/2020,18:00 (20:00),Bologna,0.7,0–1,1.4,Napoli,,Stadio Renato Dall'Ara,Fabrizio Pasqua,Match Report,
7,Sun,11/8/2020,20:45 (22:45),Milan,3.5,2–2,1.6,Hellas Verona,,Stadio Giuseppe Meazza,Marco Guida,Match Report,
,,,,,,,,,,,,,
8,Sat,11/21/2020,15:00 (17:00),Crotone,1,0–2,1.7,Lazio,,Stadio Ezio Scida,Juan Sacchi,Match Report,
8,Sat,11/21/2020,18:00 (20:00),Spezia,0.4,0–0,2.1,Atalanta,,Stadio Dino Manuzzi,Antonio Rapuano,Match Report,
8,Sat,11/21/2020,20:45 (22:45),Juventus,2.2,2–0,0.1,Cagliari,,Allianz Stadium,Fabio Maresca,Match Report,
8,Sun,11/22/2020,12:30 (14:30),Fiorentina,1.1,0–1,0.6,Benevento,,Stadio Artemio Franchi,Davide Ghersini,Match Report,
8,Sun,11/22/2020,15:00 (17:00),Inter,4,4–2,2.1,Torino,,Stadio Giuseppe Meazza,Federico La Penna,Match Report,
8,Sun,11/22/2020,15:00 (17:00),Roma,3.1,3–0,0,Parma,,Stadio Olimpico,Gianluca Manganiello,Match Report,
8,Sun,11/22/2020,15:00 (17:00),Hellas Verona,1.5,0–2,0.4,Sassuolo,,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,
8,Sun,11/22/2020,15:00 (17:00),Sampdoria,0.9,1–2,1.6,Bologna,,Stadio Comunale Luigi Ferraris,Livio Marinelli,Match Report,
8,Sun,11/22/2020,18:00 (20:00),Udinese,0.4,1–0,0.6,Genoa,,Dacia Arena,Giampaolo Calvarese,Match Report,
8,Sun,11/22/2020,20:45 (22:45),Napoli,1.5,1–3,2.4,Milan,,Stadio Diego Armando Maradona,Paolo Valeri,Match Report,
,,,,,,,,,,,,,
9,Sat,11/28/2020,15:00 (17:00),Sassuolo,0.7,0–3,1.2,Inter,,Mapei Stadium - Città del Tricolore,Massimiliano Irrati,Match Report,
9,Sat,11/28/2020,18:00 (20:00),Benevento,0.5,1–1,1.5,Juventus,,Stadio Ciro Vigorito,Fabrizio Pasqua,Match Report,
9,Sat,11/28/2020,20:45 (22:45),Atalanta,1.4,0–2,1.9,Hellas Verona,,Stadio Atleti Azzurri d'Italia,Davide Massa,Match Report,
9,Sun,11/29/2020,12:30 (14:30),Lazio,1.2,1–3,1.5,Udinese,,Stadio Olimpico,Gianluca Aureliano,Match Report,
9,Sun,11/29/2020,15:00 (17:00),Bologna,1.8,1–0,0.4,Crotone,,Stadio Renato Dall'Ara,Marco Serra,Match Report,
9,Sun,11/29/2020,15:00 (17:00),Milan,2.6,2–0,0.7,Fiorentina,,Stadio Giuseppe Meazza,Rosario Abisso,Match Report,
9,Sun,11/29/2020,18:00 (20:00),Cagliari,1.9,2–2,2.5,Spezia,,Sardegna Arena,Valerio Marini,Match Report,
9,Sun,11/29/2020,20:45 (22:45),Napoli,1.7,4–0,0.5,Roma,,Stadio Diego Armando Maradona,Marco Di Bello,Match Report,
9,Mon,11/30/2020,18:30 (20:30),Torino,1.8,2–2,1.4,Sampdoria,,Stadio Olimpico di Torino,Daniele Doveri,Match Report,
9,Mon,11/30/2020,20:45 (22:45),Genoa,1.6,1–2,1.1,Parma,,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,
,,,,,,,,,,,,,
10,Sat,12/5/2020,15:00 (17:00),Spezia,1.5,1–2,0.5,Lazio,,Stadio Dino Manuzzi,Daniele Chiffi,Match Report,
10,Sat,12/5/2020,18:00 (20:00),Juventus,1.6,2–1,1,Torino,,Allianz Stadium,Daniele Orsato,Match Report,
10,Sat,12/5/2020,20:45 (22:45),Inter,2,3–1,1.4,Bologna,,Stadio Giuseppe Meazza,Paolo Valeri,Match Report,
10,Sun,12/6/2020,12:30 (14:30),Hellas Verona,2.7,1–1,1.5,Cagliari,,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,
10,Sun,12/6/2020,15:00 (17:00),Parma,0.7,0–0,0.4,Benevento,,Stadio Ennio Tardini,Juan Sacchi,Match Report,
10,Sun,12/6/2020,15:00 (17:00),Roma,1.3,0–0,0.3,Sassuolo,,Stadio Olimpico,Fabio Maresca,Match Report,
10,Sun,12/6/2020,18:00 (20:00),Crotone,0.3,0–4,1.7,Napoli,,Stadio Ezio Scida,Livio Marinelli,Match Report,
10,Sun,12/6/2020,20:45 (22:45),Sampdoria,1.2,1–2,2.5,Milan,,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,
10,Mon,12/7/2020,20:45 (22:45),Fiorentina,2.6,1–1,1.3,Genoa,,Stadio Artemio Franchi,Daniele Doveri,Match Report,
,,,,,,,,,,,,,
11,Fri,12/11/2020,20:45 (22:45),Sassuolo,1.1,1–0,2.5,Benevento,,Mapei Stadium - Città del Tricolore,Simone Sozza,Match Report,
11,Sat,12/12/2020,15:00 (17:00),Crotone,1.3,4–1,1,Spezia,,Stadio Ezio Scida,Antonio Giua,Match Report,
11,Sat,12/12/2020,18:00 (20:00),Torino,1,2–3,1.3,Udinese,,Stadio Olimpico di Torino,Davide Massa,Match Report,
11,Sat,12/12/2020,20:45 (22:45),Lazio,0.7,1–2,0.9,Hellas Verona,,Stadio Olimpico,Rosario Abisso,Match Report,
11,Sun,12/13/2020,12:45 (14:45),Cagliari,1.6,1–3,2.8,Inter,,Sardegna Arena,Fabrizio Pasqua,Match Report,
11,Sun,12/13/2020,15:00 (17:00),Napoli,1.5,2–1,1.1,Sampdoria,,Stadio Diego Armando Maradona,Federico La Penna,Match Report,
11,Sun,12/13/2020,15:00 (17:00),Bologna,0.4,1–5,3.1,Roma,,Stadio Renato Dall'Ara,Giampaolo Calvarese,Match Report,
11,Sun,12/13/2020,15:00 (17:00),Atalanta,2.7,3–0,0.3,Fiorentina,,Stadio Atleti Azzurri d'Italia,Maurizio Mariani,Match Report,
11,Sun,12/13/2020,18:00 (20:00),Genoa,0.2,1–3,3.4,Juventus,,Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,
11,Sun,12/13/2020,20:45 (22:45),Milan,1.9,2–2,0.5,Parma,,Stadio Giuseppe Meazza,Francesco Fourneau,Match Report,
,,,,,,,,,,,,,
12,Tue,12/15/2020,18:30 (20:30),Udinese,1.3,0–0,0.2,Crotone,,Dacia Arena,Antonio Di Martino,Match Report,
12,Tue,12/15/2020,20:45 (22:45),Benevento,1.4,1–1,0.7,Lazio,,Stadio Ciro Vigorito,Luca Pairetto,Match Report,
12,Wed,12/16/2020,18:30 (20:30),Juventus,2.6,1–1,0.9,Atalanta,,Allianz Stadium,Daniele Doveri,Match Report,
12,Wed,12/16/2020,20:45 (22:45),Parma,1.1,0–0,0.4,Cagliari,,Stadio Ennio Tardini,Ivan Pezzuto,Match Report,
12,Wed,12/16/2020,20:45 (22:45),Genoa,1.1,2–2,2.2,Milan,,Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,
12,Wed,12/16/2020,20:45 (22:45),Hellas Verona,1.8,1–2,1,Sampdoria,,Stadio Marc'Antonio Bentegodi,Riccardo Ros,Match Report,
12,Wed,12/16/2020,20:45 (22:45),Inter,1.2,1–0,2.2,Napoli,,Stadio Giuseppe Meazza,Davide Massa,Match Report,
12,Wed,12/16/2020,20:45 (22:45),Fiorentina,2.1,1–1,1.6,Sassuolo,,Stadio Artemio Franchi,Paolo Valeri,Match Report,
