Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sun,9/18/2022,15:00 (16:00),Monza,2.5,1–0,0.9,Juventus,"12,878",U-Power Stadium,Fabio Maresca,Match Report,
7,Sun,9/18/2022,15:00 (16:00),Fiorentina,2.4,2–0,0.6,Hellas Verona,"32,216",Stadio Artemio Franchi,Antonio Rapuano,Match Report,
7,Sun,9/18/2022,18:00 (19:00),Roma,2.4,0–1,0.2,Atalanta,"61,335",Stadio Olimpico,Daniele Chiffi,Match Report,
7,Sun,9/18/2022,20:45 (21:45),Milan,2.6,1–2,1.4,Napoli,"72,573",Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,
,,,,,,,,,,,,,
8,Sat,10/1/2022,15:00 (16:00),Napoli,1.6,3–1,1,Torino,"35,953",Stadio Diego Armando Maradona,Luca Massimi,Match Report,
8,Sat,10/1/2022,18:00 (19:00),Inter,1,1–2,1,Roma,"75,389",Stadio Giuseppe Meazza,Davide Massa,Match Report,
8,Sat,10/1/2022,20:45 (21:45),Empoli,1.1,1–3,2.3,Milan,"15,497",Stadio Carlo Castellani,Gianluca Aureliano,Match Report,
8,Sun,10/2/2022,12:30 (13:30),Lazio,2.3,4–0,1.1,Spezia,"41,000",Stadio Olimpico,Juan Sacchi,Match Report,
8,Sun,10/2/2022,15:00 (16:00),Sassuolo,3.2,5–0,0.5,Salernitana,"15,786",Mapei Stadium - Città del Tricolore,Maria Sole Ferrieri Caputi,Match Report,
8,Sun,10/2/2022,15:00 (16:00),Lecce,1,1–1,1.6,Cremonese,"23,377",Stadio Comunale Via Del Mare,Livio Marinelli,Match Report,
8,Sun,10/2/2022,15:00 (16:00),Sampdoria,0.1,0–3,1.4,Monza,"19,806",Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Match Report,
8,Sun,10/2/2022,18:00 (19:00),Atalanta,1.3,1–0,0.7,Fiorentina,"18,265",Stadio Atleti Azzurri d'Italia,Massimiliano Irrati,Match Report,
8,Sun,10/2/2022,20:45 (21:45),Juventus,1.8,3–0,0.4,Bologna,"34,662",Allianz Stadium,Rosario Abisso,Match Report,
8,Mon,10/3/2022,20:45 (21:45),Hellas Verona,0.3,1–2,1.8,Udinese,"15,352",Stadio Marc'Antonio Bentegodi,Daniele Minelli,Match Report,
,,,,,,,,,,,,,
9,Sat,10/8/2022,15:00 (16:00),Sassuolo,1.2,1–2,2.3,Inter,"17,574",Mapei Stadium - Città del Tricolore,Simone Sozza,Match Report,
9,Sat,10/8/2022,18:00 (19:00),Milan,2.2,2–0,0.8,Juventus,"75,530",Stadio Giuseppe Meazza,Daniele Orsato,Match Report,
9,Sat,10/8/2022,20:45 (21:45),Bologna,0.8,1–1,0.6,Sampdoria,"20,871",Stadio Renato Dall'Ara,Marco Piccinini,Match Report,
9,Sun,10/9/2022,12:30 (13:30),Torino,2.4,1–1,0.2,Empoli,"16,793",Stadio Olimpico di Torino,Francesco Fourneau,Match Report,
9,Sun,10/9/2022,15:00 (16:00),Udinese,1,2–2,2.1,Atalanta,"24,671",Dacia Arena,Daniele Doveri,Match Report,
9,Sun,10/9/2022,15:00 (16:00),Salernitana,1.1,2–1,0.9,Hellas Verona,"15,922",Stadio Arechi,Davide Ghersini,Match Report,
9,Sun,10/9/2022,15:00 (16:00),Monza,0.7,2–0,0.5,Spezia,"12,094",U-Power Stadium,Daniele Perenzoni,Match Report,
9,Sun,10/9/2022,18:00 (19:00),Cremonese,0.8,1–4,4.1,Napoli,"14,238",Stadio Giovanni Zini,Rosario Abisso,Match Report,
9,Sun,10/9/2022,20:45 (21:45),Roma,3.2,2–1,0.3,Lecce,"64,018",Stadio Olimpico,Alessandro Prontera,Match Report,
9,Mon,10/10/2022,20:45 (21:45),Fiorentina,2.2,0–4,1.6,Lazio,"30,574",Stadio Artemio Franchi,Fabio Maresca,Match Report,
,,,,,,,,,,,,,
10,Sat,10/15/2022,15:00 (16:00),Empoli,1.8,1–0,1.3,Monza,"7,258",Stadio Carlo Castellani,Antonio Rapuano,Match Report,
10,Sat,10/15/2022,18:00 (19:00),Torino,0.6,0–1,2.1,Juventus,"22,269",Stadio Olimpico di Torino,Maurizio Mariani,Match Report,
10,Sat,10/15/2022,20:45 (21:45),Atalanta,2.5,2–1,0.8,Sassuolo,"17,772",Stadio Atleti Azzurri d'Italia,Matteo Marcenaro,Match Report,
10,Sun,10/16/2022,12:30 (13:30),Inter,1.7,2–0,0.4,Salernitana,"75,452",Stadio Giuseppe Meazza,Juan Sacchi,Match Report,
10,Sun,10/16/2022,15:00 (16:00),Lazio,0.8,0–0,0.9,Udinese,"45,000",Stadio Olimpico,Andrea Colombo,Match Report,
10,Sun,10/16/2022,15:00 (16:00),Spezia,1.5,2–2,2.1,Cremonese,"8,400",Stadio Alberto Picco,Gianluca Manganiello,Match Report,
10,Sun,10/16/2022,18:00 (19:00),Napoli,2.6,3–2,1.3,Bologna,"50,000",Stadio Diego Armando Maradona,Francesco Cosso,Match Report,
10,Sun,10/16/2022,20:45 (21:45),Hellas Verona,2.1,1–2,1.9,Milan,"22,904",Stadio Marc'Antonio Bentegodi,Davide Massa,Match Report,
10,Mon,10/17/2022,18:30 (19:30),Sampdoria,0.2,0–1,1.8,Roma,"20,803",Stadio Comunale Luigi Ferraris,Marco Di Bello,Match Report,
10,Mon,10/17/2022,20:45 (21:45),Lecce,1.1,1–1,0.5,Fiorentina,"24,925",Stadio Comunale Via Del Mare,Luca Massimi,Match Report,
,,,,,,,,,,,,,
11,Fri,10/21/2022,20:45 (21:45),Juventus,3.5,4–0,0.7,Empoli,"37,771",Allianz Stadium,Michael Fabbri,Match Report,
11,Sat,10/22/2022,15:00 (16:00),Salernitana,1.6,1–0,0.9,Spezia,"17,260",Stadio Arechi,Daniele Chiffi,Match Report,
11,Sat,10/22/2022,18:00 (19:00),Milan,1.1,4–1,1.2,Monza,"72,938",Stadio Giuseppe Meazza,Livio Marinelli,Match Report,
11,Sat,10/22/2022,20:45 (21:45),Fiorentina,1.3,3–4,2.4,Inter,"36,699",Stadio Artemio Franchi,Paolo Valeri,Match Report,
11,Sun,10/23/2022,12:30 (13:30),Udinese,2,1–2,1.5,Torino,"20,711",Dacia Arena,Matteo Marchetti,Match Report,
11,Sun,10/23/2022,15:00 (16:00),Bologna,1.8,2–0,0.4,Lecce,"24,206",Stadio Renato Dall'Ara,Simone Sozza,Match Report,
11,Sun,10/23/2022,18:00 (19:00),Atalanta,0.8,0–2,0.9,Lazio,"18,988",Stadio Atleti Azzurri d'Italia,Rosario Abisso,Match Report,
11,Sun,10/23/2022,20:45 (21:45),Roma,0.3,0–1,0.9,Napoli,"61,633",Stadio Olimpico,Massimiliano Irrati,Match Report,
11,Mon,10/24/2022,18:30 (19:30),Cremonese,2,0–1,1.3,Sampdoria,"13,021",Stadio Giovanni Zini,Fabio Maresca,Match Report,
11,Mon,10/24/2022,20:45 (21:45),Sassuolo,1.5,2–1,1.4,Hellas Verona,"11,368",Mapei Stadium - Città del Tricolore,Alberto Santoro,Match Report,
,,,,,,,,,,,,,
12,Sat,10/29/2022,15:00 (16:00),Napoli,2.1,4–0,1,Sassuolo,"45,000",Stadio Diego Armando Maradona,Antonio Rapuano,Match Report,
12,Sat,10/29/2022,18:00 (19:00),Lecce,0.2,0–1,0.6,Juventus,"25,860",Stadio Comunale Via Del Mare,Daniele Chiffi,Match Report,
12,Sat,10/29/2022,20:45 (21:45),Inter,2,3–0,0.5,Sampdoria,"73,311",Stadio Giuseppe Meazza,Luca Massimi,Match Report,
12,Sun,10/30/2022,12:30 (14:30),Empoli,0.8,0–2,3,Atalanta,"8,740",Stadio Carlo Castellani,Giovanni Ayroldi,Match Report,
