Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Wed,10/5/2022,21:00 (22:00),Real Madrid es,3.4,2–1,0.8,ua Shakhtar,"56,011",Estadio Santiago Bernabéu,Ivan Kružliak,Match Report,
Group stage,3,Wed,10/5/2022,21:00 (22:00),Sevilla es,2,1–4,2.5,de Dortmund,"34,598",Estadio Ramón Sánchez Pizjuán,Maurizio Mariani,Match Report,
Group stage,3,Wed,10/5/2022,21:00 (22:00),Juventus it,2.3,3–1,2,il Maccabi Haifa,"28,498",Allianz Stadium,Sandro Schärer,Match Report,
,,,,,,,,,,,,,,
Group stage,4,Tue,10/11/2022,18:45 (19:45),FC Copenhagen dk,0.3,0–0,1.6,eng Manchester City,"35,447",Parken,Artur Dias,Match Report,
Group stage,4,Tue,10/11/2022,19:45,Maccabi Haifa il,0.8,2–0,0.5,it Juventus,"30,074",Sammy Ofer Stadium,Antonio Matéu Lahoz,Match Report,
Group stage,4,Tue,10/11/2022,20:00 (22:00),Celtic sct,2,0–2,1.7,de RB Leipzig,"57,565",Celtic Park,Halil Umut Meler,Match Report,
Group stage,4,Tue,10/11/2022,21:00 (22:00),Dortmund de,0.4,1–1,0.8,es Sevilla,"81,000",Signal Iduna Park,Srđan Jovanović,Match Report,
Group stage,4,Tue,10/11/2022,21:00 (22:00),Paris S-G fr,1.2,1–1,1.2,pt Benfica,"46,435",Parc des Princes,Michael Oliver,Match Report,
Group stage,4,Tue,10/11/2022,21:00 (22:00),Milan it,0.4,0–2,2.2,eng Chelsea,"75,051",Stadio Giuseppe Meazza,Daniel Siebert,Match Report,
Group stage,4,Tue,10/11/2022,21:00 (22:00),Dinamo Zagreb hr,0.9,1–1,1.3,at RB Salzburg,"20,779",Stadion Maksimir,Tobias Stieler,Match Report,
Group stage,4,Tue,10/11/2022,22:00,Shakhtar ua,0.5,1–1,1.1,es Real Madrid,"29,030",Stadion Miejski Legii Warszawa im. Marsz...,Orel Grinfeeld,Match Report,
Group stage,4,Wed,10/12/2022,18:45 (19:45),Napoli it,3.2,4–2,1.6,nl Ajax,"52,229",Stadio Diego Armando Maradona,Felix Zwayer,Match Report,
Group stage,4,Wed,10/12/2022,18:45 (19:45),Atlético Madrid es,2.3,0–0,0.6,be Club Brugge,"60,810",Estadio Cívitas Metropolitano,Danny Makkelie,Match Report,
Group stage,4,Wed,10/12/2022,20:00 (22:00),Sporting CP pt,0.3,0–2,2.8,fr Marseille,"38,126",Estádio José Alvalade,Alejandro Hernández,Match Report,
Group stage,4,Wed,10/12/2022,20:00 (22:00),Rangers sct,0.5,1–7,2.2,eng Liverpool,"48,820",Ibrox Stadium,Slavko Vinčič,Match Report,
Group stage,4,Wed,10/12/2022,20:00 (22:00),Tottenham eng,3,3–2,1.2,de Eint Frankfurt,"55,180",Tottenham Hotspur Stadium,Carlos del Cerro,Match Report,
Group stage,4,Wed,10/12/2022,21:00 (22:00),Viktoria Plzeň cz,1.2,2–4,3,de Bayern Munich,"11,326",Doosan Arena,Bartosz Frankowski,Match Report,
Group stage,4,Wed,10/12/2022,21:00 (22:00),Leverkusen de,2.2,0–3,1.8,pt Porto,"30,210",BayArena,István Kovács,Match Report,
Group stage,4,Wed,10/12/2022,21:00 (22:00),Barcelona es,2.2,3–3,2,it Inter,"92,302",Camp Nou,Szymon Marciniak,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Tue,10/25/2022,18:45 (19:45),Sevilla es,1,3–0,1.1,dk FC Copenhagen,"29,884",Estadio Ramón Sánchez Pizjuán,Benoît Bastien,Match Report,
Group stage,5,Tue,10/25/2022,18:45 (19:45),RB Salzburg at,1.6,1–2,1.5,eng Chelsea,"29,520",Red Bull Arena,Sandro Schärer,Match Report,
Group stage,5,Tue,10/25/2022,20:00 (22:00),Benfica pt,3.3,4–3,2.4,it Juventus,"60,131",Estádio do Sport Lisboa e Benfica,Srđan Jovanović,Match Report,
Group stage,5,Tue,10/25/2022,20:00 (22:00),Celtic sct,1.4,1–1,0.8,ua Shakhtar,"57,478",Celtic Park,Serdar Gözübüyük,Match Report,
Group stage,5,Tue,10/25/2022,21:00 (22:00),Paris S-G fr,2.6,7–2,0.8,il Maccabi Haifa,"46,435",Parc des Princes,Felix Zwayer,Match Report,
Group stage,5,Tue,10/25/2022,21:00 (22:00),Dortmund de,1.2,0–0,1.2,eng Manchester City,"81,000",Signal Iduna Park,Davide Massa,Match Report,
Group stage,5,Tue,10/25/2022,21:00 (22:00),RB Leipzig de,2.2,3–2,2.1,es Real Madrid,"45,228",Red Bull Arena,Daniele Orsato,Match Report,
Group stage,5,Tue,10/25/2022,21:00 (22:00),Dinamo Zagreb hr,0.7,0–4,3.2,it Milan,"20,572",Stadion Maksimir,Szymon Marciniak,Match Report,
Group stage,5,Wed,10/26/2022,18:45 (19:45),Club Brugge be,1.4,0–4,3.2,pt Porto,"26,144",Jan Breydelstadion,Michael Oliver,Match Report,
Group stage,5,Wed,10/26/2022,18:45 (19:45),Inter it,3.2,4–0,0.1,cz Viktoria Plzeň,"71,849",Stadio Giuseppe Meazza,Andreas Ekberg,Match Report,
Group stage,5,Wed,10/26/2022,20:00 (22:00),Tottenham eng,1.7,1–1,0.8,pt Sporting CP,"59,588",Tottenham Hotspur Stadium,Danny Makkelie,Match Report,
Group stage,5,Wed,10/26/2022,21:00 (22:00),Eint Frankfurt de,1.1,2–1,0.7,fr Marseille,"48,700",Deutsche Bank Park,Jesús Gil,Match Report,
Group stage,5,Wed,10/26/2022,21:00 (22:00),Atlético Madrid es,2.6,2–2,1.5,de Leverkusen,"63,803",Estadio Cívitas Metropolitano,Clément Turpin,Match Report,
Group stage,5,Wed,10/26/2022,21:00 (22:00),Barcelona es,0.7,0–3,2.1,de Bayern Munich,"84,016",Camp Nou,Anthony Taylor,Match Report,
Group stage,5,Wed,10/26/2022,21:00 (22:00),Ajax nl,1.2,0–3,1.6,eng Liverpool,"53,327",Johan Cruyff ArenA,José Sánchez,Match Report,
