,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Team1,Team2,Result
49,Group stage,3.0,Wed,10/23/2019,21:00 (22:00),Slavia Prague cz,1.5,1–2,2.5,es Barcelona,"19,170",Sinobo Stadium,Bobby Madden,Match Report,,1,2,2
51,Group stage,4.0,Tue,11/5/2019,18:55 (20:55),Barcelona es,2.3,0–0,0.3,cz Slavia Prague,"67,023",Camp Nou,Michael Oliver,Match Report,,0,0,0
52,Group stage,4.0,Tue,11/5/2019,20:00 (23:00),Liverpool eng,2.3,2–1,0.7,be Genk,"52,611",Anfield,Ivan Kružliak,Match Report,,2,1,1
53,Group stage,4.0,Tue,11/5/2019,20:00 (23:00),Chelsea eng,4.8,4–4,1.0,nl Ajax,"39,132",Stamford Bridge,Gianluca Rocchi,Match Report,,4,4,0
54,Group stage,4.0,Tue,11/5/2019,20:55,Zenit ru,1.2,0–2,1.4,de RB Leipzig,"50,452",Gazprom Arena,Orel Grinfeeld,Match Report,,0,2,2
55,Group stage,4.0,Tue,11/5/2019,21:00 (23:00),Valencia es,2.3,4–1,1.5,fr Lille,"38,252",Estadio de Mestalla,Sergey Karasev,Match Report,,4,1,1
56,Group stage,4.0,Tue,11/5/2019,21:00 (23:00),Napoli it,2.7,1–1,1.5,at RB Salzburg,"32,862",Stadio San Paolo,Szymon Marciniak,Match Report,,1,1,0
57,Group stage,4.0,Tue,11/5/2019,21:00 (23:00),Dortmund de,3.5,3–2,1.4,it Inter,"66,099",Signal Iduna Park,Danny Makkelie,Match Report,,3,2,1
58,Group stage,4.0,Tue,11/5/2019,21:00 (23:00),Lyon fr,1.4,3–1,1.3,pt Benfica,"51,077",Groupama Stadium,Björn Kuipers,Match Report,,3,1,1
59,Group stage,4.0,Wed,11/6/2019,18:55 (20:55),Bayern Munich de,3.3,2–0,0.2,gr Olympiacos,"63,646",Allianz Arena,Paweł Raczkowski,Match Report,,2,0,1
60,Group stage,4.0,Wed,11/6/2019,20:55,Loko Moscow ru,2.4,1–2,2.4,it Juventus,"26,862",RZD Arena,Ruddy Buquet,Match Report,,1,2,2
61,Group stage,4.0,Wed,11/6/2019,21:00 (23:00),Atalanta it,0.7,1–1,2.0,eng Manchester City,"34,326",Stadio Giuseppe Meazza,Aliaksei Kulbakou,Match Report,,1,1,0
62,Group stage,4.0,Wed,11/6/2019,21:00 (23:00),Leverkusen de,1.3,2–1,2.0,es Atlético Madrid,"28,160",BayArena,Damir Skomina,Match Report,,2,1,1
63,Group stage,4.0,Wed,11/6/2019,21:00 (23:00),Paris S-G fr,1.9,1–0,1.8,be Club Brugge,"47,418",Parc des Princes,Bobby Madden,Match Report,,1,0,1
64,Group stage,4.0,Wed,11/6/2019,21:00 (23:00),Real Madrid es,4.2,6–0,0.6,tr Galatasaray,"65,492",Estadio Santiago Bernabéu,Felix Zwayer,Match Report,,6,0,1
65,Group stage,4.0,Wed,11/6/2019,21:00 (23:00),Red Star rs,0.5,0–4,2.5,eng Tottenham,"42,381",Stadion Rajko Mitić,Carlos del Cerro,Match Report,,0,4,2
66,Group stage,4.0,Wed,11/6/2019,21:00 (23:00),Dinamo Zagreb hr,2.0,3–3,2.7,ua Shakhtar,"28,316",Stadion Maksimir,Felix Brych,Match Report,,3,3,0
68,Group stage,5.0,Tue,11/26/2019,20:00 (23:00),Manchester City eng,1.2,1–1,1.0,ua Shakhtar,"52,020",Etihad Stadium,Slavko Vinčič,Match Report,,1,1,0
69,Group stage,5.0,Tue,11/26/2019,20:00 (23:00),Tottenham eng,2.2,4–2,1.2,gr Olympiacos,"57,024",Tottenham Hotspur Stadium,Georgi Kabakov,Match Report,,4,2,1
70,Group stage,5.0,Tue,11/26/2019,20:55,Galatasaray tr,0.9,1–1,1.1,be Club Brugge,"34,500",Türk Telekom Arena,Ivan Kružliak,Match Report,,1,1,0
71,Group stage,5.0,Tue,11/26/2019,20:55,Loko Moscow ru,1.0,0–2,0.7,de Leverkusen,"25,757",RZD Arena,Michael Oliver,Match Report,,0,2,2
