Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
10,Fri,10/18/2019,20:45 (21:45),Nice,0.8,1–4,3.5,Paris S-G,"32,705",Stade de Nice,François Letexier,Match Report,
10,Sat,10/19/2019,17:30 (18:30),Lyon,2.1,0–0,0.4,Dijon,"48,454",Groupama Stadium,Franck Schneider,Match Report,
10,Sat,10/19/2019,20:00 (21:00),Metz,0.8,1–0,0.6,Nantes,"16,533",Stade Saint-Symphorien,Jérémie Pignard,Match Report,
10,Sat,10/19/2019,20:00 (21:00),Toulouse,2.5,2–1,0.8,Lille,"12,277",Stadium Municipal,Stéphanie Frappart,Match Report,
10,Sat,10/19/2019,20:00 (21:00),Reims,0.9,1–0,0.9,Montpellier,"12,187",Stade Auguste-Delaune II,Florent Batta,Match Report,
10,Sat,10/19/2019,20:00 (21:00),Nîmes,0.5,1–1,1.2,Amiens,"12,189",Stade des Costières,Jeremy Stinat,Match Report,
10,Sat,10/19/2019,20:00 (21:00),Angers,1.7,0–1,0.3,Brest,"10,369",Stade Raymond Kopa,Eric Wattellier,Match Report,
10,Sun,10/20/2019,15:00 (16:00),Bordeaux,1,0–1,0.9,Saint-Étienne,"25,952",Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
10,Sun,10/20/2019,17:00 (18:00),Monaco,1.4,3–2,1.5,Rennes,"6,763",Stade Louis II.,Jérôme Brisard,Match Report,
10,Sun,10/20/2019,21:00 (22:00),Marseille,1.6,2–0,0.5,Strasbourg,"50,203",Orange Vélodrome,Hakim Ben El Hadj Salem,Match Report,
,,,,,,,,,,,,,
11,Fri,10/25/2019,20:45 (21:45),Nantes,1.7,0–1,0.9,Monaco,"30,656",Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Match Report,
11,Sat,10/26/2019,17:30 (18:30),Lille,1.8,3–0,0.3,Bordeaux,"35,925",Stade Pierre-Mauroy,Willy Delajod,Match Report,
11,Sat,10/26/2019,20:00 (21:00),Lyon,1.9,2–0,0.8,Metz,"48,889",Groupama Stadium,Johan Hamel,Match Report,
11,Sat,10/26/2019,20:00 (21:00),Strasbourg,2.1,1–0,0.8,Nice,"25,007",Stade de la Meinau,Mikael Lesage,Match Report,
11,Sat,10/26/2019,20:00 (21:00),Reims,0.6,0–0,0.7,Nîmes,"12,329",Stade Auguste-Delaune II,Clément Turpin,Match Report,
11,Sat,10/26/2019,20:00 (21:00),Brest,1.9,2–0,1.2,Dijon,"14,232",Stade Francis-Le Blé,Jérémie Pignard,Match Report,
11,Sat,10/26/2019,20:00 (21:00),Montpellier,1.2,0–0,1,Angers,"12,678",Stade de la Mosson,Benoît Millot,Match Report,
11,Sun,10/27/2019,15:00 (17:00),Rennes,2.1,3–2,1.2,Toulouse,"22,918",Roazhon Park,Antony Gautier,Match Report,
11,Sun,10/27/2019,17:00 (19:00),Saint-Étienne,0.8,2–2,2.2,Amiens,"18,877",Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
11,Sun,10/27/2019,21:00 (23:00),Paris S-G,3,4–0,0.6,Marseille,"47,926",Parc des Princes,Benoît Bastien,Match Report,
,,,,,,,,,,,,,
12,Fri,11/1/2019,20:45 (22:45),Dijon,1,2–1,3.2,Paris S-G,"14,859",Stade Gaston Gérard,Ruddy Buquet,Match Report,
12,Sat,11/2/2019,17:30 (19:30),Marseille,0.7,2–1,0.4,Lille,"53,321",Orange Vélodrome,Hakim Ben El Hadj Salem,Match Report,
12,Sat,11/2/2019,20:00 (22:00),Toulouse,1.3,2–3,1.8,Lyon,"16,225",Stadium Municipal,Karim Abed,Match Report,
12,Sat,11/2/2019,20:00 (22:00),Amiens,1.4,1–0,0.9,Brest,"12,246",Stade Crédit Agricole la Licorne,Franck Schneider,Match Report,
12,Sat,11/2/2019,20:00 (22:00),Metz,1.9,2–2,1,Montpellier,"14,644",Stade Saint-Symphorien,Stéphanie Frappart,Match Report,
12,Sat,11/2/2019,20:00 (22:00),Angers,1.2,1–0,1.2,Strasbourg,"9,681",Stade Raymond Kopa,Florent Batta,Match Report,
12,Sun,11/3/2019,15:00 (17:00),Bordeaux,1,2–0,0.7,Nantes,"19,545",Stade Matmut-Atlantique,François Letexier,Match Report,
