Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sun,11/13/2022,15:00 (17:00),Brest,2.4,2–1,1,Troyes,"10,642",Stade Francis-Le Blé,Ruddy Buquet,Match Report,
15,Sun,11/13/2022,15:00 (17:00),Nantes,1.1,2–2,2.5,Ajaccio,"29,407",Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,Match Report,
15,Sun,11/13/2022,17:05 (19:05),Strasbourg,2.3,1–1,0.5,Lorient,"25,117",Stade de la Meinau,Pierre Gaillouste,Match Report,
15,Sun,11/13/2022,20:45 (22:45),Monaco,2,2–3,1.9,Marseille,"10,631",Stade Louis II.,Benoît Bastien,Match Report,
,,,,,,,,,,,,,
16,Wed,12/28/2022,15:00 (17:00),Ajaccio,1.6,1–0,1.9,Angers,"7,088",Stade François Coty,Jeremy Stinat,Match Report,
16,Wed,12/28/2022,15:00 (17:00),Troyes,0.2,0–0,1.5,Nantes,"9,043",Stade de l'Aube,Stéphanie Frappart,Match Report,
16,Wed,12/28/2022,17:00 (19:00),Auxerre,1.3,2–3,1.3,Monaco,"16,503",Stade de l'Abbé Deschamps,Marc Bollengier,Match Report,
16,Wed,12/28/2022,19:00 (21:00),Clermont Foot,0.7,0–2,1.6,Lille,"13,122",Stade Gabriel Montpied,François Letexier,Match Report,
16,Wed,12/28/2022,21:00 (23:00),Brest,1.3,2–4,3.1,Lyon,"14,601",Stade Francis-Le Blé,Bastien Dechepy,Match Report,
16,Wed,12/28/2022,21:00 (23:00),Paris S-G,2.1,2–1,1.3,Strasbourg,"47,000",Parc des Princes,Clément Turpin,Match Report,
16,Thu,12/29/2022,17:00 (19:00),Lorient,1,0–2,1.7,Montpellier,"15,963",Stade Yves Allainmat - Le Moustoir,Willy Delajod,Match Report,
16,Thu,12/29/2022,19:00 (21:00),Reims,1.4,3–1,1.6,Rennes,"13,262",Stade Auguste-Delaune,Hakim Ben El Hadj Salem,Match Report,
16,Thu,12/29/2022,21:00 (23:00),Marseille,2.6,6–1,1.8,Toulouse,"61,371",Orange Vélodrome,Jérémie Pignard,Match Report,
