Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular season,11,Sat,10/27/2018,17:00 (18:00),Angers,1.3,1–2,1.7,Lyon,"14,186",Stade Raymond Kopa,Ruddy Buquet,Match Report,
Regular season,11,Sat,10/27/2018,20:00 (21:00),Toulouse,1.2,0–3,1.5,Montpellier,"14,100",Stadium Municipal,Karim Abed,Match Report,
Regular season,11,Sat,10/27/2018,20:00 (21:00),Monaco,1,2–2,0.6,Dijon,"7,139",Stade Louis II.,Jérôme Miguelgorry,Match Report,
Regular season,11,Sat,10/27/2018,20:00 (21:00),Amiens,1.2,1–2,1.6,Nantes,"11,384",Stade de la Licorne,Jeremy Stinat,Match Report,
Regular season,11,Sat,10/27/2018,20:00 (21:00),Guingamp,1.2,1–1,1.5,Strasbourg,"13,643",Stade du Roudourou,Willy Delajod,Match Report,
Regular season,11,Sat,10/27/2018,20:00 (21:00),Lille,0.6,1–0,0.4,Caen,"33,362",Stade Pierre-Mauroy,Florent Batta,Match Report,
Regular season,11,Sun,10/28/2018,15:00 (17:00),Rennes,0.6,0–2,0.3,Reims,"22,710",Roazhon Park,Benoît Millot,Match Report,
Regular season,11,Sun,10/28/2018,17:00 (19:00),Bordeaux,2,0–1,1.1,Nice,"20,730",Stade Matmut-Atlantique,Jérôme Brisard,Match Report,
Regular season,11,Sun,10/28/2018,21:00 (23:00),Marseille,0.6,0–2,1.5,Paris S-G,"64,696",Orange Vélodrome,Benoît Bastien,Match Report,
,,,,,,,,,,,,,,
Regular season,12,Fri,11/2/2018,20:45 (22:45),Paris S-G,1.9,2–1,1,Lille,"47,549",Parc des Princes,François Letexier,Match Report,
Regular season,12,Sat,11/3/2018,17:00 (19:00),Lyon,0.3,1–1,1.4,Bordeaux,"46,653",Groupama Stadium,Benoît Millot,Match Report,
Regular season,12,Sat,11/3/2018,20:00 (22:00),Dijon,1.8,0–4,2.2,Nîmes,"12,113",Stade Gaston Gérard,Franck Schneider,Match Report,
Regular season,12,Sat,11/3/2018,20:00 (22:00),Nice,1.2,1–0,0.8,Amiens,"15,259",Stade de Nice,Johan Hamel,Match Report,
Regular season,12,Sat,11/3/2018,20:00 (22:00),Caen,1.7,1–2,2.5,Rennes,"17,284",Stade Michel d'Ornano,Amaury Delerue,Match Report,
Regular season,12,Sat,11/3/2018,20:00 (22:00),Reims,1.1,1–0,1,Monaco,"16,005",Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
Regular season,12,Sat,11/3/2018,20:00 (22:00),Strasbourg,1,1–1,1,Toulouse,"25,034",Stade de la Meinau,Jérôme Miguelgorry,Match Report,
Regular season,12,Sun,11/4/2018,15:00 (17:00),Nantes,2.5,5–0,0.2,Guingamp,"25,753",Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
Regular season,12,Sun,11/4/2018,17:00 (19:00),Saint-Étienne,2.1,4–3,1.8,Angers,"22,983",Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
