Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,10/9/2022,18:30 (19:30),Real Sociedad,1.2,1–0,0.2,Villarreal,"32,689",Reale Arena,César Soto,Match Report,
8,Sun,10/9/2022,21:00 (22:00),Barcelona,2,1–0,1.5,Celta Vigo,"81,525",Camp Nou,José Luis Munuera,Match Report,
8,Mon,10/10/2022,21:00 (22:00),Elche,0.5,1–1,2.3,Mallorca,"12,000",Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
,,,,,,,,,,,,,
9,Fri,10/14/2022,21:00 (22:00),Rayo Vallecano,1.6,0–0,0.4,Getafe,"13,076",Estadio del Rayo Vallecano,Mario Melero,Match Report,
9,Sat,10/15/2022,14:00 (15:00),Girona,2.3,1–1,1.1,Cádiz,"9,927",Estadi Municipal de Montilivi,Ricardo de Burgos,Match Report,
9,Sat,10/15/2022,16:15 (17:15),Valencia,2.7,2–2,1.7,Elche,"41,805",Estadio de Mestalla,Juan Pulido,Match Report,
9,Sat,10/15/2022,18:30 (19:30),Mallorca,0.7,0–1,0.2,Sevilla,"15,300",Iberostar Estadi,Javier Villanueva,Match Report,
9,Sat,10/15/2022,21:00 (22:00),Athletic Club,1.2,0–1,0.3,Atlético Madrid,"48,391",San Mamés,Jorge Figueroa,Match Report,
9,Sun,10/16/2022,14:00 (15:00),Celta Vigo,0.5,1–2,0.8,Real Sociedad,"13,101",Estadio de Balaídos,Guillermo Cuadra,Match Report,
9,Sun,10/16/2022,16:15 (17:15),Real Madrid,1.1,3–1,2,Barcelona,"62,876",Estadio Santiago Bernabéu,José Sánchez,Match Report,
9,Sun,10/16/2022,18:30 (19:30),Espanyol,1.3,1–0,0.7,Valladolid,"17,770",RCDE Stadium,Antonio Matéu Lahoz,Match Report,
9,Sun,10/16/2022,21:00 (22:00),Betis,2.5,3–1,0.8,Almería,"46,112",Estadio Benito Villamarín,Alejandro Muñíz,Match Report,
9,Mon,10/17/2022,21:00 (22:00),Villarreal,1.5,2–0,0.5,Osasuna,"9,699",Estadio Ciudad de Valencia,Pablo González,Match Report,
,,,,,,,,,,,,,
10,Tue,10/18/2022,19:00 (20:00),Sevilla,1.1,1–1,1.8,Valencia,"37,353",Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
10,Tue,10/18/2022,20:00 (21:00),Getafe,0.8,2–2,1,Athletic Club,"11,395",Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
