,Unnamed: 0,Team Av Shots Diff,Team Av Shots Inside Box Diff,Team Av Fouls Diff,Team Av Corners Diff,Team Av Possession Diff,Team Av Pass Accuracy Diff,Team Av Goal Diff,Opponent Av Shots Diff,Opponent Av Shots Inside Box Diff,Opponent Av Fouls Diff,Opponent Av Corners Diff,Opponent Av Possession Diff,Opponent Av Pass Accuracy Diff,Opponent Av Goal Diff
1028,1028,3.200000000000001,2.2,1.0,-1.1000000000000003,-3.4000000000000057,-0.9000000000000057,1.2000000000000002,-5.800000000000001,-2.999999999999999,0.5999999999999996,-0.7000000000000002,-4.599999999999994,-2.4000000000000057,-0.3999999999999999
1029,1029,8.299999999999999,5.6000000000000005,-1.5999999999999996,2.8,15.400000000000006,8.299999999999997,1.1,0.200000000000001,0.2000000000000001,2.9000000000000004,0.0,-2.4000000000000057,-0.0999999999999943,-0.8
1030,1030,-5.4,-2.9000000000000004,1.1999999999999993,-0.4000000000000003,-5.799999999999997,-2.4000000000000057,-0.7000000000000001,-0.5999999999999996,-0.5,0.2999999999999989,-1.7000000000000002,-5.599999999999994,-2.800000000000012,-0.5
1031,1031,-5.0,-3.6000000000000005,-1.9000000000000004,-3.7,-33.800000000000004,-16.0,-0.5,1.1999999999999993,2.3,-1.799999999999999,0.5,-5.799999999999997,-2.700000000000003,0.5999999999999999
1032,1032,0.5,1.0,0.5999999999999996,-2.1000000000000005,-6.0,-2.4000000000000057,1.4,-4.799999999999999,-3.9,3.0,-0.2000000000000001,-10.799999999999995,-6.700000000000003,0.0
1033,1033,-1.8999999999999984,-3.000000000000001,-0.4000000000000003,-0.8000000000000003,17.599999999999994,7.700000000000003,0.0999999999999998,10.6,7.0,0.3000000000000007,4.1000000000000005,33.599999999999994,13.5,0.8
1034,1034,11.2,7.6,0.8000000000000007,3.6000000000000005,32.599999999999994,14.100000000000009,0.5999999999999999,-4.9,-2.1999999999999997,0.9000000000000004,-1.3000000000000007,-25.8,-11.899999999999991,-0.9000000000000001
1035,1035,0.3000000000000007,2.3000000000000007,-0.3000000000000007,0.8000000000000003,2.5999999999999943,2.200000000000003,0.0999999999999998,13.3,8.5,-2.7,4.5,37.2,14.600000000000009,2.4
1036,1036,-5.800000000000001,-5.300000000000001,-1.299999999999999,-1.7000000000000002,-19.40000000000001,-7.5,-1.5,-0.6999999999999993,-1.3000000000000007,2.0,-0.7000000000000002,10.400000000000006,5.0,-0.7999999999999998
1037,1037,-1.0,-0.6000000000000005,0.0999999999999996,-1.0,-14.599999999999994,-5.6000000000000085,0.3999999999999999,-3.6,-4.500000000000001,-1.8000000000000007,0.4000000000000003,3.5999999999999943,1.0,-1.2999999999999998
1038,1038,-6.1,-3.3000000000000007,0.7000000000000011,-2.0,-29.800000000000004,-13.600000000000009,-1.5000000000000002,-4.0,-4.6,-2.6000000000000005,-0.5999999999999996,-1.0,-0.5,-1.2
1039,1039,8.200000000000001,5.199999999999999,-1.5,2.6,16.799999999999997,9.5,1.2999999999999998,-1.1999999999999993,-0.6999999999999993,0.5,-2.2,-4.400000000000006,-2.4000000000000057,-0.1999999999999999
1040,1040,2.0,2.5,-0.5,-1.0,-4.400000000000006,-1.7000000000000028,1.4,0.5999999999999996,0.5,3.3000000000000007,0.2999999999999998,-3.0,-1.0999999999999943,-0.8999999999999999
1041,1041,-5.299999999999999,-4.6,3.0,-0.7999999999999998,-9.799999999999995,-5.900000000000006,-0.3999999999999999,-5.100000000000001,-3.9,-1.299999999999999,-3.8,-32.0,-14.899999999999991,-0.6000000000000001
1042,1042,-1.799999999999999,-2.1000000000000014,2.4000000000000004,-1.0999999999999996,7.400000000000006,3.5,-0.6000000000000001,-1.0,-1.8999999999999997,-0.5999999999999996,0.1000000000000005,18.40000000000001,8.0,-0.0999999999999998
1043,1043,-0.3000000000000007,1.8000000000000007,1.0999999999999996,0.0,-0.7999999999999972,1.0,1.2999999999999998,-4.6,-2.3999999999999995,0.8000000000000007,-0.7000000000000002,-8.0,-3.0,-0.3999999999999999
1044,1044,0.7999999999999989,2.0,-1.4000000000000004,1.0,-3.5999999999999943,-2.1000000000000085,0.4000000000000001,-1.200000000000001,0.5,-1.0,0.2000000000000001,-2.0,0.5999999999999943,0.0
1045,1045,-3.1999999999999997,-3.2,-2.4000000000000004,-1.4000000000000004,-15.599999999999994,-6.199999999999989,-1.0,7.600000000000001,4.800000000000001,0.6999999999999993,3.2,28.40000000000001,11.699999999999989,0.2999999999999998
1046,1046,-0.5999999999999996,-0.5,0.8999999999999986,0.0,-10.0,-4.099999999999994,0.3,13.1,9.2,0.7000000000000002,4.6,37.400000000000006,16.200000000000003,1.5
1047,1047,-2.1999999999999997,-1.4000000000000004,1.1000000000000014,-2.8,-4.0,-2.4000000000000057,-0.1999999999999999,14.5,9.6,-2.6,6.000000000000001,42.8,16.700000000000003,2.8
1048,1048,-3.3999999999999986,-2.8999999999999995,3.5,0.2999999999999998,-2.4000000000000057,-3.3999999999999915,-0.1,0.5,2.3999999999999995,-1.5,1.2999999999999998,-3.200000000000003,-2.0,0.3
1049,1049,-0.0999999999999996,-1.9000000000000004,-1.4000000000000004,-0.2999999999999998,15.400000000000006,6.399999999999992,-0.1,1.0,1.9000000000000004,0.0999999999999996,-1.0,-2.4000000000000057,-1.0,1.2
