Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,5,Thu,11/28/2019,18:55 (20:55),AZ Alkmaar nl,0.8,2–2,1.4,rs Partizan,"9,092",Cars Jeans Stadion,Daniel Stefański,Match Report,
Group stage,5,Thu,11/28/2019,19:55 (20:55),FC Oleksandriya ua,1.1,0–1,1.8,de Wolfsburg,"7,118",L'viv Arena,Manuel Schüttengruber,Match Report,
Group stage,5,Thu,11/28/2019,20:00 (23:00),Sporting CP pt,1.9,4–0,0.9,nl PSV Eindhoven,"30,146",Estádio José Alvalade,Orel Grinfeeld,Match Report,
Group stage,5,Thu,11/28/2019,20:00 (23:00),Vitória pt,1.7,1–1,2.4,be Standard Liège,"11,221",Estádio Dom Afonso Henriques,Sergiy Boyko,Match Report,
Group stage,5,Thu,11/28/2019,20:00 (23:00),Celtic sct,0.6,3–1,1.5,fr Rennes,"56,172",Celtic Park,Espen Andreas Eskås,Match Report,
Group stage,5,Thu,11/28/2019,20:00 (23:00),Arsenal eng,1.3,1–2,1.2,de Eint Frankfurt,"49,419",Emirates Stadium,Ruddy Buquet,Match Report,
Group stage,5,Thu,11/28/2019,20:55,Başakşehir tr,0.5,0–3,3.3,it Roma,"12,879",Başakşehir Fatih Terim Stadium,Ovidiu Hațegan,Match Report,
Group stage,5,Thu,11/28/2019,20:55,CSKA Moscow ru,1.4,1–1,1.2,bg Ludogorets,"12,948",Stadion Feijenoord,Jakob Kehlet,Match Report,
Group stage,5,Thu,11/28/2019,20:55,Beşiktaş tr,3.3,2–1,0.7,sk Slovan Bratislava,"11,526",Vodafone Arena,Enea Jorgji,Match Report,
Group stage,5,Thu,11/28/2019,21:00 (23:00),Sevilla es,0.8,2–0,0.2,az Qarabağ Ağdam,"19,803",Estadio Ramón Sánchez Pizjuán,Mohammed Al Hakim,Match Report,
Group stage,5,Thu,11/28/2019,21:00 (23:00),Lugano ch,1.3,0–1,1.1,dk FC Copenhagen,"1,281",Kybunpark,Aleksey Eskov,Match Report,
Group stage,5,Thu,11/28/2019,21:00 (23:00),Rosenborg no,1.4,1–2,1.4,at LASK,"5,000",Lerkendal Stadion,Giorgi Kruashvili,Match Report,
Group stage,5,Thu,11/28/2019,21:00 (23:00),Lazio it,0.8,1–0,1.2,ro CFR Cluj,"7,604",Stadio Olimpico,Ali Palabıyık,Match Report,
