Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,4,Thu,11/4/2021,18:45 (20:45),Legia Warsaw pl,0.6,1–4,4.3,it Napoli,"25,706",Stadion Miejski Legii Warszawa im. Marsz...,Lawrence Visser,Match Report,
Group stage,4,Thu,11/4/2021,18:45 (20:45),Lyon fr,2.5,3–0,1.4,cz Sparta Prague,"33,934",Groupama Stadium,Maurizio Mariani,Match Report,
Group stage,4,Thu,11/4/2021,18:45 (20:45),Genk be,1.3,2–2,2.6,eng West Ham,"12,239",Luminus Arena,Aleksandar Stavrev,Match Report,
Group stage,4,Thu,11/4/2021,19:45 (20:45),Olympiacos gr,1.4,1–2,0.9,de Eint Frankfurt,"23,050",Stadio Georgios Karaiskáki,Aliaksei Kulbakou,Match Report,
Group stage,4,Thu,11/4/2021,20:00 (23:00),Braga pt,2.7,4–2,0.9,bg Ludogorets,"6,221",Estádio Municipal de Braga,Glenn Nyberg,Match Report,
Group stage,4,Thu,11/4/2021,20:00 (23:00),Leicester City eng,1.8,1–1,0.3,ru Spartak Moscow,"30,222",King Power Stadium,Halil Umut Meler,Match Report,
Group stage,4,Thu,11/4/2021,20:45,Galatasaray tr,1.2,1–1,2.2,ru Loko Moscow,"27,776",Nef Stadyumu,Sandro Schärer,Match Report,
Group stage,4,Thu,11/4/2021,21:00 (23:00),Ferencváros hu,0.7,2–3,1.2,sct Celtic,"16,501",Groupama Arena,Fábio Veríssimo,Match Report,
Group stage,4,Thu,11/4/2021,21:00 (23:00),Red Star rs,0.8,0–1,1.7,dk Midtjylland,"23,070",Stadion Rajko Mitić,Tamás Bognár,Match Report,
Group stage,4,Thu,11/4/2021,21:00 (23:00),Leverkusen de,2.7,4–0,0.9,es Betis,"15,208",BayArena,Anthony Taylor,Match Report,
Group stage,4,Thu,11/4/2021,21:00 (23:00),Antwerp be,0.7,0–3,2,tr Fenerbahçe,,Bosuilstadion,Irfan Peljto,Match Report,
Group stage,4,Thu,11/4/2021,21:00 (23:00),Marseille fr,2.3,2–2,0.9,it Lazio,"59,163",Orange Vélodrome,José Sánchez,Match Report,
Group stage,4,Thu,11/4/2021,21:00 (23:00),Dinamo Zagreb hr,2.9,3–1,0.9,at Rapid Wien,"7,835",Stadion Maksimir,John Beaton,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Wed,11/24/2021,18:30,Spartak Moscow ru,1.8,2–1,2.5,it Napoli,"25,706",Otkrytie Arena,Clément Turpin,Match Report,
Group stage,5,Thu,11/25/2021,18:45 (20:45),Rapid Wien at,0.8,0–2,3.7,eng West Ham,,Allianz Stadion,Sergey Ivanov,Match Report,
Group stage,5,Thu,11/25/2021,18:45 (20:45),Betis es,2.1,2–0,0.5,hu Ferencváros,"30,137",Estadio Benito Villamarín,Ruddy Buquet,Match Report,
Group stage,5,Thu,11/25/2021,18:45 (20:45),Red Star rs,1.3,1–0,0.9,bg Ludogorets,"11,252",Stadion Rajko Mitić,José Sánchez,Match Report,
Group stage,5,Thu,11/25/2021,18:45 (20:45),Leverkusen de,2.4,3–2,1.4,sct Celtic,"19,830",BayArena,Anastasios Sidiropoulos,Match Report,
Group stage,5,Thu,11/25/2021,18:45 (20:45),Midtjylland dk,2.8,3–2,1,pt Braga,"7,189",MCH Arena,Matej Jug,Match Report,
Group stage,5,Thu,11/25/2021,18:45 (20:45),Dinamo Zagreb hr,1.2,1–1,2,be Genk,"6,892",Stadion Maksimir,Glenn Nyberg,Match Report,
Group stage,5,Thu,11/25/2021,20:00 (23:00),Leicester City eng,1.8,3–1,1.3,pl Legia Warsaw,"30,658",King Power Stadium,Deniz Aytekin,Match Report,
Group stage,5,Thu,11/25/2021,20:00 (23:00),Rangers sct,2.4,2–0,1.5,cz Sparta Prague,"48,370",Ibrox Stadium,Danny Makkelie,Match Report,
Group stage,5,Thu,11/25/2021,20:45,Galatasaray tr,2.3,4–2,2.6,fr Marseille,"39,758",Ali Sami Yen Stadyumu,Tobias Stieler,Match Report,
Group stage,5,Thu,11/25/2021,20:45,Loko Moscow ru,0.4,0–3,3.5,it Lazio,"8,100",RZD Arena,Artur Dias,Match Report,
Group stage,5,Thu,11/25/2021,21:00 (23:00),Eint Frankfurt de,1.6,2–2,1.2,be Antwerp,"30,000",Deutsche Bank Park,Paul Tierney,Match Report,
Group stage,5,Thu,11/25/2021,21:00 (23:00),Monaco fr,2.5,2–1,1.4,es Real Sociedad,"3,834",Stade Louis II.,Ivan Kružliak,Match Report,
Group stage,5,Thu,11/25/2021,21:00 (23:00),Brøndby dk,1.3,1–3,1.1,fr Lyon,"16,645",Brøndby Stadion,Georgi Kabakov,Match Report,
Group stage,5,Thu,11/25/2021,21:00 (23:00),PSV Eindhoven nl,2.9,2–0,0.6,at Sturm Graz,,Philips Stadion,Paweł Raczkowski,Match Report,
Group stage,5,Thu,11/25/2021,22:00 (23:00),Olympiacos gr,1.4,1–0,0.3,tr Fenerbahçe,"22,405",Stadio Georgios Karaiskáki,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Thu,12/9/2021,18:45 (20:45),Legia Warsaw pl,1.9,0–1,1.1,ru Spartak Moscow,"21,629",Stadion Miejski Legii Warszawa im. Marsz...,Matej Jug,Match Report,
Group stage,6,Thu,12/9/2021,18:45 (20:45),Antwerp be,0.9,1–0,0.6,gr Olympiacos,"7,992",Bosuilstadion,Marco Di Bello,Match Report,
Group stage,6,Thu,12/9/2021,18:45 (20:45),Sparta Prague cz,1.1,2–0,0.8,dk Brøndby,976,Generali Česká Pojišťovna Arena,Craig Pawson,Match Report,
Group stage,6,Thu,12/9/2021,18:45 (20:45),Sturm Graz at,2.5,1–1,1.8,fr Monaco,,Merkur Arena,Mohammed Al Hakim,Match Report,
Group stage,6,Thu,12/9/2021,18:45 (20:45),Lyon fr,1,1–1,0.5,sct Rangers,"26,842",Groupama Stadium,Radu Petrescu,Match Report,
Group stage,6,Thu,12/9/2021,18:45 (20:45),Napoli it,1.6,3–2,2,eng Leicester City,"14,646",Stadio Diego Armando Maradona,Antonio Matéu Lahoz,Match Report,
Group stage,6,Thu,12/9/2021,18:45 (20:45),Real Sociedad es,2.2,3–0,0.5,nl PSV Eindhoven,"24,940",Estadio Municipal de Anoeta,Felix Zwayer,Match Report,
Group stage,6,Thu,12/9/2021,20:00 (23:00),West Ham eng,0.7,0–1,1.1,hr Dinamo Zagreb,"49,407",London Stadium,Maurizio Mariani,Match Report,
Group stage,6,Thu,12/9/2021,20:00 (23:00),Braga pt,2.1,1–1,1,rs Red Star,"5,344",Estádio Municipal de Braga,Marco Guida,Match Report,
Group stage,6,Thu,12/9/2021,20:00 (23:00),Celtic sct,1.8,3–2,2.7,es Betis,"54,548",Celtic Park,Daniel Stefański,Match Report,
Group stage,6,Thu,12/9/2021,20:45,Fenerbahçe tr,0.6,1–1,1,de Eint Frankfurt,"8,932",Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Srđan Jovanović,Match Report,
Group stage,6,Thu,12/9/2021,21:00 (23:00),Lazio it,0.8,0–0,0.4,tr Galatasaray,"13,178",Stadio Olimpico,Carlos del Cerro,Match Report,
Group stage,6,Thu,12/9/2021,21:00 (23:00),Marseille fr,2.3,1–0,0.3,ru Loko Moscow,"42,614",Orange Vélodrome,William Collum,Match Report,
Group stage,6,Thu,12/9/2021,21:00 (23:00),Ferencváros hu,0.6,1–0,1.2,de Leverkusen,"12,127",Groupama Arena,Kirill Levnikov,Match Report,
Group stage,6,Thu,12/9/2021,21:00 (23:00),Genk be,1,0–1,0.7,at Rapid Wien,"10,018",Luminus Arena,Tiago Martins,Match Report,
Group stage,6,Thu,12/9/2021,22:00 (23:00),Ludogorets bg,0.8,0–0,1.3,dk Midtjylland,556,Huvepharma Arena,Tobias Stieler,Match Report,
,,,,,,,,,,,,,,
Knockout round play-offs,,Thu,2/17/2022,18:45 (20:45),Dortmund de,1.5,2–4,2.1,sct Rangers,"10,000",Signal Iduna Park,Clément Turpin,Match Report,Leg 1 of 2
Knockout round play-offs,,Thu,2/17/2022,18:45 (20:45),Barcelona es,2.4,1–1,0.8,it Napoli,"73,525",Camp Nou,István Kovács,Match Report,Leg 1 of 2
